QKEY,weight,uses_facebook,uses_x,uses_instagram,uses_tiktok,news_facebook,news_x,news_instagram,news_tiktok,fb_why_news,fb_why_entertain,fb_why_social,fb_why_opinion,fb_why_products,fb_why_interests,fb_why_family,tt_why_news,tt_why_entertain,tt_why_social,tt_why_opinion,tt_why_products,tt_why_interests,tt_why_family,fb_pol_content,tt_pol_content,fb_pol_lean,tt_pol_lean,age_group,gender,education,race_ethnicity,party,ideology,income
201701651035,0.36386067260104504,No,Yes,No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50-64,Male,Less than high school,White non-Hispanic,Democrat,Moderate,9
201701651057,0.5902039347615333,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,None at all,NA,NA,NA,65+,Female,Less than high school,White non-Hispanic,Democrat,Liberal,4
201701651701,0.21848682324717544,Yes,No,No,No,Yes,NA,NA,NA,No,No,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,Some,NA,Not sure,NA,65+,Female,Some college,Black non-Hispanic,Democrat,NA,1
201701651794,0.9088176170411604,Yes,Yes,Yes,No,No,No,No,NA,NA,NA,NA,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,A little,NA,Doesn't lean either way,NA,30-49,Male,Less than high school,White non-Hispanic,Republican,Conservative,9
201701652109,0.7174823378460236,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,None at all,NA,NA,NA,65+,Male,High school graduate,White non-Hispanic,Independent,Conservative,8
201701652152,1.4707378856082165,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,A little,NA,Not sure,NA,50-64,Female,Less than high school,White non-Hispanic,Independent,Moderate,6
201701653417,0.5666983097671004,Yes,Yes,No,No,Yes,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,All or almost all,NA,Mostly liberal,NA,30-49,Male,Less than high school,Asian non-Hispanic,Independent,Moderate,9
201701655314,1.777290895437165,Yes,No,Yes,Yes,Yes,NA,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,A little,A little,Not sure,Not sure,50-64,Female,High school graduate,Black non-Hispanic,Independent,Moderate,1
201701656157,0.4933725213520725,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65+,Male,High school graduate,Other,Independent,Moderate,3
201701657354,1.3775545655560708,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Doesn't lean either way,NA,65+,Male,Some college,White non-Hispanic,Republican,Conservative,1
201701657660,1.2049066953227672,Yes,No,Yes,No,Yes,NA,No,NA,No,NA,No,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Mostly liberal,NA,30-49,Female,Less than high school,White non-Hispanic,Independent,Moderate,9
201701658035,0.5808912385743816,Yes,No,Yes,No,Yes,NA,Yes,NA,NA,NA,NA,No,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,A little,NA,Mostly liberal,NA,65+,Female,Less than high school,White non-Hispanic,Democrat,Liberal,3
201701658319,0.4003486051301229,Yes,Yes,No,No,Yes,Yes,NA,NA,No,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Doesn't lean either way,NA,50-64,Female,High school graduate,White non-Hispanic,Independent,Liberal,1
201701658940,0.5849935455947974,Yes,No,No,Yes,Yes,NA,NA,No,No,No,NA,NA,Yes,No,No,NA,NA,NA,Yes,NA,NA,No,Some,Some,Not sure,Doesn't lean either way,50-64,Male,High school graduate,White non-Hispanic,Independent,Moderate,9
201701659002,3.6647525262831526,Yes,No,Yes,No,Yes,NA,Yes,NA,Yes,No,No,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,A little,NA,Doesn't lean either way,NA,30-49,Female,Some college,Hispanic,NA,Moderate,1
201701659298,0.5761066212960955,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Mostly conservative,NA,50-64,Male,Less than high school,White non-Hispanic,Republican,Very conservative,9
201701660516,0.6351398527073044,No,No,Yes,No,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-49,Female,Less than high school,White non-Hispanic,Democrat,Very liberal,9
201701660622,1.8082807331499295,Yes,No,No,No,No,NA,NA,NA,No,NA,NA,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,None at all,NA,NA,NA,65+,Female,Some college,White non-Hispanic,Republican,Moderate,3
201701661123,1.02195944946845,Yes,Yes,No,Yes,No,No,NA,No,NA,NA,NA,Yes,No,NA,NA,NA,NA,NA,Yes,NA,NA,NA,Some,A little,Mostly liberal,Doesn't lean either way,30-49,Female,Less than high school,White non-Hispanic,Republican,Very conservative,7
201701662260,0.5067829750617258,Yes,No,Yes,No,Yes,NA,Yes,NA,No,NA,NA,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,Some,NA,Doesn't lean either way,NA,30-49,Female,Less than high school,Other,Republican,Moderate,9
201701662558,0.914502583614996,Yes,No,No,No,No,NA,NA,NA,NA,No,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Doesn't lean either way,NA,30-49,Male,High school graduate,White non-Hispanic,Republican,Conservative,9
201701662648,0.7334383133357518,No,Yes,No,No,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50-64,Male,High school graduate,NA,Something else,Very conservative,9
201701662714,0.32474126046136476,Yes,No,Yes,No,No,NA,No,NA,NA,NA,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Mostly conservative,NA,65+,Female,High school graduate,White non-Hispanic,Democrat,Liberal,6
201701664244,0.28638717201119607,Yes,No,Yes,No,No,NA,No,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Not sure,NA,18-29,Male,Less than high school,Asian non-Hispanic,Something else,Liberal,9
201701664641,2.093873363617807,Yes,No,No,Yes,Yes,NA,NA,Yes,NA,NA,NA,No,Yes,Yes,No,NA,NA,NA,Yes,NA,Yes,NA,A little,None at all,Not sure,NA,65+,Female,Some college,White non-Hispanic,Democrat,Moderate,1
201701664888,0.8564823987236239,Yes,No,No,No,Yes,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,Some,NA,Doesn't lean either way,NA,50-64,Male,High school graduate,Black non-Hispanic,Democrat,Moderate,6
201701665582,2.3936100765798063,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-49,Male,Less than high school,Hispanic,Something else,Liberal,9
201701665628,1.0789066468672512,Yes,No,Yes,No,No,NA,Yes,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Doesn't lean either way,NA,50-64,Female,High school graduate,Hispanic,Independent,Moderate,1
201701665792,0.44420962447136,Yes,No,No,Yes,No,NA,NA,No,NA,NA,NA,Yes,Yes,NA,No,NA,NA,NA,Yes,No,Yes,NA,None at all,None at all,NA,NA,50-64,Female,High school graduate,Black non-Hispanic,Democrat,Conservative,4
201701665943,0.4147008629578457,Yes,No,No,Yes,No,NA,NA,No,NA,NA,NA,No,Yes,No,No,NA,NA,NA,No,No,No,No,A little,None at all,Not sure,NA,50-64,Female,Some college,White non-Hispanic,Something else,Moderate,1
201701666727,0.8202967056321303,Yes,Yes,Yes,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,A little,NA,Not sure,30-49,Male,Less than high school,Asian non-Hispanic,Democrat,Liberal,9
201701667125,3.147319447640358,No,Yes,Yes,No,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-49,Male,High school graduate,Hispanic,Independent,Moderate,4
201701667233,0.932728068644036,Yes,Yes,Yes,Yes,No,No,No,No,No,NA,NA,Yes,Yes,No,No,NA,NA,NA,Yes,No,NA,No,A little,A little,Not sure,Not sure,50-64,Female,Less than high school,White non-Hispanic,Republican,Conservative,7
201701668698,0.5809834464460637,Yes,No,Yes,No,No,NA,No,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,None at all,NA,NA,NA,50-64,Female,Less than high school,White non-Hispanic,Republican,Conservative,9
201701669369,0.3909767632728041,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,None at all,NA,NA,NA,65+,Female,Less than high school,White non-Hispanic,Democrat,Moderate,9
201701669600,10.34117116736681,Yes,Yes,Yes,No,No,Yes,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,A little,NA,Doesn't lean either way,NA,18-29,Male,Some college,Hispanic,Independent,Moderate,5
201701669764,0.8656131831903476,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-49,Male,Less than high school,White non-Hispanic,Independent,Conservative,3
201701671197,0.6155297027333161,Yes,Yes,Yes,Yes,No,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,None at all,NA,NA,30-49,Female,Less than high school,Hispanic,Something else,Very conservative,9
201701671858,1.350443046792994,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,No,NA,Yes,NA,NA,Yes,NA,Some,NA,Doesn't lean either way,50-64,Female,Less than high school,Black non-Hispanic,Something else,Conservative,4
201701671884,1.1584555812028112,Yes,No,No,Yes,Yes,NA,NA,Yes,NA,No,NA,No,Yes,NA,NA,NA,No,Yes,Yes,No,Yes,Yes,Some,Some,Mostly liberal,Mostly liberal,30-49,Female,Less than high school,White non-Hispanic,Democrat,Very liberal,9
201701675153,1.297780749203389,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Mostly liberal,NA,65+,Male,High school graduate,White non-Hispanic,Republican,Conservative,9
201701675847,2.2354864126918725,No,No,Yes,Yes,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,NA,NA,NA,A little,NA,Not sure,30-49,Female,Some college,White non-Hispanic,Independent,Moderate,3
201701676912,0.4545818664173797,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,No,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Mostly conservative,NA,50-64,Female,Less than high school,Hispanic,Republican,Conservative,2
201701677542,0.5566328717119191,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50-64,Male,Less than high school,White non-Hispanic,Republican,Conservative,9
201701677591,0.3555743787302607,No,Yes,Yes,No,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-49,Female,Less than high school,White non-Hispanic,Democrat,Very liberal,8
201701677878,0.7207989311519674,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50-64,Male,High school graduate,White non-Hispanic,Democrat,Liberal,7
201701678401,4.871332981139577,Yes,No,Yes,No,No,NA,Yes,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Not sure,NA,18-29,Female,Less than high school,White non-Hispanic,Democrat,Liberal,8
201701678593,0.9323718775428592,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65+,Female,Less than high school,White non-Hispanic,Republican,Conservative,4
201701679157,0.6138474348459966,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,A little,NA,Mostly conservative,NA,50-64,Female,Less than high school,White non-Hispanic,Republican,Very conservative,1
201701679724,0.9553230641388144,Yes,Yes,No,No,No,Yes,NA,NA,NA,NA,No,NA,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,A little,NA,Mostly liberal,NA,50-64,Male,High school graduate,White non-Hispanic,Something else,Very conservative,9
201701680038,0.40064260096147825,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,NA,NA,NA,NA,No,No,NA,NA,A little,A little,Not sure,Doesn't lean either way,65+,Male,Less than high school,White non-Hispanic,Independent,Moderate,9
201701681844,0.3153623104097493,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,A little,NA,Doesn't lean either way,NA,50-64,Female,Less than high school,Asian non-Hispanic,Democrat,Liberal,9
201701681985,0.29281869261939225,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-49,Male,Less than high school,Asian non-Hispanic,Democrat,Very liberal,9
201701682236,0.4581611147943763,Yes,No,Yes,No,No,NA,No,NA,NA,NA,No,No,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Mostly liberal,NA,65+,Female,Less than high school,White non-Hispanic,Republican,Conservative,5
201701682414,2.1863080255049714,Yes,No,Yes,No,No,NA,No,NA,NA,NA,No,No,Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,A little,NA,Mostly liberal,NA,50-64,Male,Some college,White non-Hispanic,Independent,Moderate,2
201701682656,1.4891274271980344,Yes,No,Yes,No,No,NA,No,NA,No,NA,NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,A little,NA,Doesn't lean either way,NA,65+,Female,High school graduate,White non-Hispanic,Republican,Conservative,4
201701683212,0.4120919952453104,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65+,Male,Less than high school,White non-Hispanic,Independent,Conservative,NA
201701684328,0.4024548766313012,Yes,No,No,No,Yes,NA,NA,NA,Yes,No,No,No,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,Some,NA,Not sure,NA,65+,Female,High school graduate,White non-Hispanic,Independent,Moderate,3
201701684527,0.632148336965414,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65+,Female,High school graduate,White non-Hispanic,Republican,Very conservative,NA
201701684785,1.5932418853181811,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-49,Male,High school graduate,Hispanic,Independent,NA,1
201701684911,0.6429749664328754,Yes,No,Yes,Yes,No,NA,No,Yes,NA,NA,NA,NA,NA,NA,No,No,No,No,Yes,No,No,No,Some,Some,Mostly conservative,Doesn't lean either way,18-29,Male,Less than high school,Hispanic,Democrat,Very liberal,7
201701686171,0.3443450614745723,No,No,Yes,No,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-49,Female,Less than high school,White non-Hispanic,Democrat,Liberal,9
201701687546,0.6672459101009802,Yes,No,No,Yes,No,NA,NA,No,NA,NA,NA,NA,No,No,NA,NA,NA,NA,No,NA,No,NA,A little,Most,Doesn't lean either way,Doesn't lean either way,65+,Female,Some college,White non-Hispanic,Republican,Conservative,6
201701687851,0.9705343181839398,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-49,Male,Less than high school,White non-Hispanic,Republican,Conservative,9
201701688460,0.7468589491425233,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,No,NA,No,Yes,NA,No,No,NA,A little,NA,Not sure,30-49,Female,Less than high school,Hispanic,Republican,Moderate,9
201701688857,1.312761402237348,Yes,Yes,Yes,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,None at all,NA,NA,50-64,Male,Some college,Black non-Hispanic,Democrat,Liberal,9
201701688908,0.5933531900433875,Yes,No,Yes,No,No,NA,No,NA,NA,No,No,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Doesn't lean either way,NA,50-64,Male,Less than high school,White non-Hispanic,Independent,Moderate,9
201701690119,1.6837227756221589,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65+,Male,Some college,White non-Hispanic,Democrat,Moderate,1
201701690935,0.3229155828245697,Yes,Yes,Yes,Yes,No,Yes,No,Yes,NA,NA,NA,NA,Yes,NA,No,NA,NA,Yes,Yes,NA,Yes,No,A little,Some,Mostly liberal,Doesn't lean either way,30-49,Female,Less than high school,White non-Hispanic,Democrat,Very liberal,6
201701691779,4.871332981139577,Yes,No,No,No,No,NA,NA,NA,Yes,NA,NA,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,Some,NA,Doesn't lean either way,NA,18-29,Male,Some college,White non-Hispanic,Democrat,Moderate,1
201701692063,1.3699497510029597,Yes,No,No,No,No,NA,NA,NA,NA,NA,No,No,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,Some,NA,Not sure,NA,65+,Female,High school graduate,White non-Hispanic,Republican,Conservative,1
201701692167,0.17366991203974463,Yes,No,Yes,Yes,No,NA,No,Yes,NA,NA,NA,No,Yes,No,NA,No,No,Yes,Yes,No,Yes,Yes,A little,Some,Not sure,Mostly liberal,30-49,Female,Less than high school,Asian non-Hispanic,Democrat,Liberal,9
201701692909,0.6285664735435698,Yes,No,Yes,Yes,Yes,NA,No,No,No,No,No,Yes,Yes,Yes,NA,NA,NA,NA,Yes,NA,No,Yes,Some,None at all,Mostly liberal,NA,30-49,Female,Less than high school,Black non-Hispanic,NA,Liberal,9
201701692910,0.42095709129285375,Yes,No,Yes,No,No,NA,No,NA,NA,NA,NA,No,NA,No,No,NA,NA,NA,NA,NA,NA,NA,Some,NA,Doesn't lean either way,NA,50-64,Female,Less than high school,White non-Hispanic,Democrat,Liberal,9
201701693435,2.5465128397381913,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50-64,Male,Some college,White non-Hispanic,Republican,Very conservative,9
201701693735,0.6649563188224505,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65+,Female,Some college,White non-Hispanic,Democrat,Moderate,1
201701694636,0.4468937481129603,No,Yes,Yes,No,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-49,Male,Less than high school,White non-Hispanic,Democrat,Liberal,9
201701694992,0.8831200991084263,Yes,Yes,No,Yes,No,Yes,NA,No,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,Yes,A little,None at all,Doesn't lean either way,NA,30-49,Male,Less than high school,White non-Hispanic,Independent,Very liberal,9
201701695007,1.283075868996355,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-49,Male,High school graduate,White non-Hispanic,Independent,Moderate,9
201701695571,0.8186543522540446,Yes,No,Yes,Yes,No,NA,No,No,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,No,Yes,NA,NA,Most,Some,Mostly liberal,Not sure,30-49,Male,Less than high school,White non-Hispanic,Independent,Moderate,4
201701695713,1.253127004987337,Yes,No,Yes,No,Yes,NA,Yes,NA,No,NA,NA,Yes,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,None at all,NA,NA,NA,30-49,Female,High school graduate,Hispanic,Republican,Moderate,1
201701696926,0.411373939558477,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Doesn't lean either way,NA,50-64,Female,Some college,White non-Hispanic,Republican,Conservative,9
201701697127,0.5253056666188405,Yes,Yes,Yes,Yes,Yes,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,NA,NA,No,NA,None at all,NA,NA,50-64,Male,Some college,White non-Hispanic,Democrat,Liberal,5
201701697440,0.4939681852858387,Yes,Yes,Yes,No,No,Yes,No,NA,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Mostly liberal,NA,50-64,Male,Less than high school,White non-Hispanic,Republican,Very conservative,9
201701698191,0.4364282829127898,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65+,Male,Less than high school,White non-Hispanic,Independent,Moderate,6
201701698723,10.34117116736681,Yes,No,Yes,Yes,Yes,NA,No,Yes,No,NA,NA,Yes,Yes,Yes,NA,NA,No,NA,Yes,No,No,Yes,Some,Some,Mostly liberal,Mostly liberal,30-49,Male,Some college,Hispanic,Democrat,Moderate,1
201701699002,0.4303729793553749,No,Yes,No,No,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-49,Male,Less than high school,Asian non-Hispanic,Independent,Very conservative,9
201701699243,1.1798562791845577,Yes,Yes,Yes,Yes,Yes,No,No,Yes,NA,NA,NA,NA,Yes,No,NA,No,No,No,Yes,NA,No,NA,A little,Some,Mostly liberal,Mostly liberal,30-49,Female,Less than high school,White non-Hispanic,Democrat,Very liberal,7
201701699659,0.42173502581106,Yes,Yes,Yes,Yes,No,No,No,No,NA,NA,NA,NA,Yes,No,NA,NA,NA,NA,No,No,NA,NA,A little,Some,Not sure,Not sure,50-64,Female,Less than high school,White non-Hispanic,Democrat,Very liberal,9
201701701177,0.4455025823111444,Yes,No,No,Yes,No,NA,NA,No,NA,NA,NA,No,Yes,No,NA,No,No,NA,Yes,NA,No,Yes,A little,A little,Not sure,Doesn't lean either way,65+,Female,High school graduate,Black non-Hispanic,Democrat,Moderate,1
201701701371,4.871332981139577,No,No,No,Yes,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,Yes,No,NA,No,NA,Some,NA,Mostly conservative,18-29,Male,Some college,White non-Hispanic,Republican,Conservative,3
201701701816,1.113864577140334,Yes,Yes,Yes,No,No,No,No,NA,NA,NA,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,A little,NA,Mostly liberal,NA,50-64,Male,Less than high school,White non-Hispanic,Independent,Moderate,9
201701704165,0.4578105244340874,Yes,No,No,Yes,Yes,NA,NA,No,NA,NA,NA,Yes,Yes,Yes,No,NA,NA,NA,No,No,No,NA,Most,None at all,Doesn't lean either way,NA,65+,Male,High school graduate,White non-Hispanic,Republican,Conservative,4
201701704174,0.7486459673653183,Yes,Yes,Yes,No,Yes,Yes,Yes,NA,No,NA,NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Not sure,NA,30-49,Male,Less than high school,Other,Independent,Moderate,9
201701704220,0.43402993778402993,Yes,Yes,No,No,No,No,NA,NA,NA,NA,No,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,A little,NA,Not sure,NA,50-64,Female,Less than high school,White non-Hispanic,Independent,Moderate,9
201701704989,3.730876835738617,Yes,No,No,No,No,NA,NA,NA,No,NA,Yes,Yes,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,A little,NA,Not sure,NA,30-49,Male,High school graduate,White non-Hispanic,Democrat,Very liberal,4
201701705856,0.351171161837712,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,None at all,NA,NA,NA,65+,Male,High school graduate,White non-Hispanic,Independent,Conservative,9
201701706522,0.4581507854834811,No,No,Yes,No,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65+,Female,Less than high school,White non-Hispanic,Independent,Moderate,9
201701707483,0.5614611319030425,Yes,No,Yes,No,No,NA,No,NA,No,NA,NA,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,A little,NA,Mostly liberal,NA,30-49,Male,Less than high school,White non-Hispanic,Democrat,Very liberal,9
201701708598,1.0293362711749907,Yes,Yes,No,No,No,No,NA,NA,NA,NA,NA,No,No,NA,No,NA,NA,NA,NA,NA,NA,NA,A little,NA,Doesn't lean either way,NA,50-64,Male,High school graduate,Hispanic,Republican,Moderate,2
201701710347,0.4256706176228877,Yes,No,Yes,Yes,Yes,NA,No,No,No,NA,No,Yes,Yes,No,NA,NA,NA,No,Yes,No,No,NA,A little,None at all,Not sure,NA,50-64,Female,Some college,White non-Hispanic,Democrat,Moderate,1
201701710900,0.8224118132980478,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50-64,Male,High school graduate,Other,Something else,Very conservative,9
201701712221,0.4583923946022673,Yes,No,Yes,No,Yes,NA,No,NA,NA,No,No,Yes,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,Some,NA,Doesn't lean either way,NA,65+,Female,Less than high school,White non-Hispanic,Independent,Moderate,9
201701712793,0.3590334129904478,Yes,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,No,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Not sure,NA,65+,Male,High school graduate,White non-Hispanic,Republican,Conservative,2
201701713166,0.5344898312724253,Yes,No,Yes,No,Yes,NA,No,NA,No,No,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,A little,NA,Not sure,NA,50-64,Female,Less than high school,White non-Hispanic,Democrat,Liberal,8
201701713232,1.2476084812931516,Yes,Yes,Yes,No,No,No,No,NA,No,NA,Yes,Yes,Yes,No,Yes,NA,NA,NA,NA,NA,NA,NA,A little,NA,Doesn't lean either way,NA,50-64,Male,High school graduate,Black non-Hispanic,Independent,Moderate,1
201701713877,0.9254088006210116,Yes,Yes,Yes,No,No,Yes,No,NA,NA,NA,NA,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,None at all,NA,NA,NA,65+,Male,Some college,White non-Hispanic,Republican,Very conservative,8
201701714612,0.4262828977625176,Yes,Yes,Yes,No,No,Yes,Yes,NA,NA,NA,No,No,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Some,NA,Mostly liberal,NA,30-49,Male,Less than high school,Black non-Hispanic,Something else,Very liberal,8
